Participant,Group,LetMemCorrectSequences_PRE,LetMemCorrectSequences_POST,OneBackTargetsinPercent_PRE,ThreeBackTargetsinPercent_PRE,OneBackTargetsinPercent_POST,ThreeBackTargetsinPercent_POST
1,1,#NULL!,#NULL!,94.44,74.07,98.15,83.33
6,1,9,19,92.59,62.96,96.30,61.11
8,1,21,29,94.44,53.70,81.48,44.44
7,1,13,18,100.00,59.26,90.74,79.63
11,1,#NULL!,#NULL!,94.44,70.37,98.15,77.78
13,1,28,31,94.44,70.37,96.30,55.56
18,1,18,17,98.15,98.15,100.00,85.19
19,1,25,30,96.30,90.74,88.89,79.63
20,1,18,18,100.00,90.74,98.15,98.15
22,1,9,11,96.30,40.74,100.00,53.70
3,2,14,28,96.30,51.85,96.30,79.63
2,2,16,27,68.52,46.30,100.00,57.41
5,2,20,37,87.04,79.63,98.15,75.93
9,2,16,34,96.30,66.67,100.00,57.41
12,2,#NULL!,#NULL!,96.30,55.56,94.44,85.19
10,2,16,21,98.15,70.37,100.00,64.81
15,2,25,36,94.44,79.63,100.00,100.00
16,2,17,30,90.74,77.78,94.44,94.44
17,2,12,34,81.48,64.81,98.15,74.07
21,2,13,32,#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
